annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2024-2025,12,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,78071,12889,7706,10.93514431,65581,2.3182661518,49769,3499,3035,5.3207677247,37361,3.1335860107,28302,9085,1793,20.808012243,28220,1.2388485314,9390,4671
2024-2025,12,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,Total établissement,,136790,22475,9918,10.831065792,102238,3.3884645794,95540,7162,3956,5.9478821465,61126,4.5696736659,41250,15259,3875,22.141111017,41112,1.6322234181,15313,5962
2024-2025,12,06,Montréal,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,Total établissement,,19632,5309,469,7.4764669219,18959,1.6445314744,13070,2603,417,3.6129592153,12400,1.8945264113,6562,1193,74,15.171688764,6559,1.1719080229,2706,52
2024-2025,12,07,Outaouais,CISSS DE L'OUTAOUAIS,Total établissement,,157551,22071,8501,9.7397878853,117486,4.2292213824,116027,9865,3462,5.5765176688,77393,4.0846400371,41524,12445,4201,21.372861611,40093,4.508312098,12206,5039
2024-2025,12,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,Total établissement,,112211,13632,5794,6.4405327959,93941,3.2300989333,90985,7520,4243,5.1075477307,72954,3.563638122,21226,2715,400,12.154357641,20987,2.0706660472,6112,1551
2024-2025,12,09,Côte-Nord,CISSS DE LA CÔTE-NORD,Total établissement,,96035,11327,5265,6.8017701851,77809,3.2605567943,75731,6395,3144,4.8133632785,57970,3.4778245309,20304,3380,1067,14.218241986,19839,2.6256956276,4932,2121
2024-2025,12,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,Total établissement,,82017,13892,3283,5.1123620171,72516,2.0544280304,65739,8539,2156,3.5636430049,56506,2.221187691,16278,1933,279,11.366892005,16010,1.4658632972,5353,1127
2024-2025,12,11,Gaspésie-Îles-de-la-Madeleine,CISSS DES ÎLES,Total établissement,,14888,2259,446,4.8589109238,12765,1.8608061322,11918,1437,222,3.3390284071,9838,1.979989553,2970,312,63,10.957887299,2927,1.4602162814,822,224
2024-2025,12,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,Total établissement,,229704,37340,9741,6.4370645507,199594,1.9936722366,178502,18319,5003,3.6239208431,148469,2.3471890391,51202,10553,2856,16.24433337,51125,0.9670456126,19021,4738
2024-2025,12,13,Laval,CISSS DE LAVAL,Total établissement,,85984,16703,5655,11.002881253,66532,3.7259846139,53649,4988,1232,6.4194124722,34342,4.7515791726,32335,8992,1086,18.607598019,32190,2.6318259207,11715,4423
2024-2025,12,14,Lanaudière,CISSS DE LANAUDIÈRE,Total établissement,,147288,27177,9095,10.117993879,108764,3.4208263406,97063,8598,4688,5.7219029794,58762,4.2827136679,50225,15315,2134,18.613718539,50002,2.4079423934,18579,4407
2024-2025,12,15,Laurentides,CISSS DES LAURENTIDES,Total établissement,,192471,34648,12195,11.985461686,146828,3.882342376,124698,12279,3924,6.3208812469,79568,4.8331567583,67773,22452,7543,22.40792862,67260,2.7575371609,22369,8271
2024-2025,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-CENTRE,Total établissement,,127874,23926,9297,11.530107938,82842,4.9911693981,87051,8891,3163,6.522206095,42130,6.0320745378,40823,14900,3837,22.208962098,40712,3.9140095058,15035,6134
2024-2025,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,Total établissement,,134273,27485,7598,11.010094494,100594,4.5677285811,73565,9372,2545,5.9137543518,40545,5.4367193516,60708,14471,3785,17.185759359,60049,3.9809872401,18113,5053
2024-2025,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,Total établissement,,92864,16691,5717,12.53767546,74827,2.3825926508,59337,4972,2393,5.7875398618,41897,3.2960833844,33527,11711,5243,24.484249742,32930,1.2203539241,11719,3324
2020-2021,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,14257,2718,792,4.8221752667,12237,1.4932254638,9571,914,450,2.6725182264,7574,1.727228567,4686,95,0,9.212778667,4663,1.1131397884,1804,342
2020-2021,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,5853,898,200,2.9986583329,5294,1.0571413655,4848,553,157,2.2364098597,4301,1.1616650521,1005,17,0,6.6756539525,993,0.6044159114,345,43
2020-2021,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,5934,857,170,1.3941456484,5142,0.5578793379,5514,720,155,1.0535756458,4729,0.567195026,420,1,0,5.865343254,413,0.4512113263,137,15
2020-2021,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,10352,1608,342,3.6571853802,9633,1.0872561334,5989,578,198,2.5353729986,5369,1.2147016308,4363,17,0,5.1970740698,4264,0.9267836017,1030,144
2020-2021,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,13206,2329,687,4.0753008313,11887,1.7166770421,9814,1109,387,3.2139324491,8543,1.945945706,3392,63,0,6.5674792813,3344,1.1309586822,1220,300
2020-2021,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,8668,1502,273,3.3247814118,7967,0.846969025,6515,767,135,1.7192401296,5830,0.9732159806,2153,42,0,8.1831657377,2137,0.502551734,735,138
2020-2021,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,10572,1792,334,3.6738191291,9867,1.0816161335,8070,850,163,2.3181697301,7381,1.161425394,2502,10,0,8.0463573586,2486,0.84466032,942,171
2020-2021,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,24118,4400,1500,4.5670481706,20014,1.5080331129,16376,1603,956,3.0870431153,12305,1.7479980812,7742,107,2,7.6975781093,7709,1.125004324,2797,544
2020-2021,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,21735,3328,991,4.1795821512,18191,1.7794425204,15638,1578,386,2.7123820004,12177,1.9069534779,6097,157,13,7.9427568203,6014,1.5212614548,1750,605
2020-2021,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,39211,6053,2602,6.4792323016,35623,1.3555018683,20056,1443,743,2.3601220056,16617,1.6034089085,19155,1857,119,10.792094536,19006,1.1387560361,4610,1859
2020-2021,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,13248,2241,548,4.3562756223,12175,1.4328725987,10596,1252,253,2.6938237962,9533,1.5469308659,2652,259,58,10.99856052,2642,1.0213217049,989,295
2020-2021,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,11344,1638,391,4.5554487688,10465,1.8005049371,8541,730,212,2.9963999467,7679,2.0390858908,2803,89,2,9.3060145875,2786,1.1429086903,908,179
2020-2021,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,17869,2492,1167,4.1915550208,16474,1.5948089245,11899,903,350,2.6813298737,10556,1.7733312808,5970,91,1,7.2016335846,5918,1.2763766851,1589,817
2020-2021,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,19924,3356,943,6.1282863911,16947,2.4661022436,12394,1062,387,3.8118106207,9541,2.7770952264,7530,244,5,9.9410886085,7406,2.0654562742,2294,556
2020-2021,12,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,51217594,56933,5469,5982,7.6808033371,49849,1.4703356637,31542,973,1659,4.0077637224,24509,2.0407268192,25391,3024,676,12.243641174,25340,0.9186499167,4496,4323
2020-2021,12,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DE L'ENFANT-JÉSUS,51233914,48370,7808,6568,10.546685158,44179,1.3513533013,26127,2145,1495,3.6022119519,21949,1.7801252019,22243,5705,1693,18.703779591,22230,0.9280013245,5663,5073
2020-2021,12,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,24332,5098,774,7.5245558547,21110,1.4885229486,16998,1863,321,3.0364746343,13790,1.7736924905,7334,1944,419,17.926574478,7320,0.9512978142,3235,453
2020-2021,12,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL SAINT-FRANÇOIS D'ASSISE,51217602,32420,7109,1057,10.521271249,27886,1.712996665,18271,1791,430,4.084555139,13772,2.273536483,14149,4210,795,18.833183048,14114,1.1660394329,5318,627
2020-2021,12,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,L'HÔTEL-DIEU DE QUÉBEC,51217586,14347,3470,714,8.6478586309,13161,1.3467337208,6653,820,258,3.3424591245,5527,1.5304432282,7694,1105,45,13.235436343,7634,1.2137284226,2650,456
2020-2021,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,51225001,18537,1230,320,2.4352300055,14758,1.2537523904,16307,1027,255,2.1805063436,12549,1.3122205621,2230,0,0,4.2979110613,2209,0.9216034153,203,65
2020-2021,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL,51244804,8247,1603,271,4.1726264096,6619,1.3224379312,6155,855,95,2.3921620634,4545,1.5072098765,2092,89,3,9.4110384799,2074,0.9175254473,748,176
2020-2021,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-MARC-DES-CARRIÈRES,51247344,10514,1550,316,2.9468818295,8916,1.1771405339,8296,800,192,2.0097708065,6722,1.3528205891,2218,37,0,6.4519643573,2194,0.638890155,750,124
2020-2021,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND,51247302,13427,1831,306,3.6998241313,11384,1.6640081108,10376,839,187,2.6537783775,8368,1.8981044853,3051,75,1,7.2572711133,3016,1.0144993369,992,119
2020-2021,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ,51225357,10628,1196,215,2.8655627431,7938,1.1295626522,9247,731,162,2.143996191,6570,1.1985182648,1381,41,3,7.6970804168,1368,0.7983942495,465,53
2020-2021,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,HÔPITAL ET CLSC DE LA MALBAIE,51228690,9782,1591,377,5.3131564211,8241,1.2673730602,7696,882,232,2.5684920377,6160,1.4607218164,2086,392,84,15.439204884,2081,0.6950384431,709,145
2020-2021,12,03,Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC,51232130,20333,6208,539,7.7425812991,19554,1.4213759901,9793,1834,312,3.6796868795,9024,1.8291980644,10540,786,1,11.51752675,10530,1.0718806057,4374,227
2020-2021,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX AVELLIN-DALCOURT,51233583,14484,2101,413,4.5620382836,12944,2.2816937921,11844,1034,259,3.4482403186,10314,2.5378926702,2640,93,3,9.5589409722,2630,1.2769655682,1067,154
2020-2021,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHRIST-ROI,51246338,13049,1445,457,3.8535093153,11191,1.8850558236,10771,687,303,2.4175578199,8930,1.9829398407,2278,194,23,10.643076285,2261,1.4984550838,758,154
2020-2021,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORTIERVILLE,51219160,7764,750,192,1.6049883007,7061,0.8128863161,7158,610,178,1.4674135,6455,0.8395453567,606,0,0,3.2300055006,606,0.5289191419,140,14
2020-2021,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU HAUT-SAINT-MAURICE,51219731,9073,1375,519,4.1668373501,7871,1.8486509903,6745,714,272,2.9217053785,5572,2.0062913775,2328,59,0,7.7744039948,2299,1.4665839012,661,247
2020-2021,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔPITAL DU CENTRE-DE-LA-MAURICIE,51220051,25557,4717,1933,5.7288226644,21308,1.7123159272,14129,1067,414,3.0580571087,9958,2.2155544955,11428,361,2,9.0308218362,11350,1.2707961331,3650,1519
2020-2021,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔPITAL SAINTE-CROIX,51228781,30907,4464,2253,6.8885630907,26533,2.0567432275,18612,1125,921,4.1752489433,14387,2.5322605091,12295,1038,46,10.99594031,12146,1.493490541,3339,1332
2020-2021,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔTEL-DIEU D'ARTHABASKA,51228039,26091,4404,1575,4.910992935,21505,1.5700297734,14649,1224,377,2.6977677657,10210,1.9444985853,11442,280,9,7.7445478646,11295,1.2315325119,3180,1198
2020-2021,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,PAVILLON SAINTE-MARIE,51220168,45296,9424,3320,9.2060404831,37341,2.1425478473,23818,1924,918,3.9968767785,15995,3.0410637873,21478,4186,331,14.982735758,21346,1.46927124,7500,2402
2020-2021,12,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832,10697,1504,438,6.433955003,9342,2.9966486477,8275,745,265,4.7188281302,6928,3.275032076,2422,295,24,12.293853794,2414,2.1977089662,759,173
2020-2021,12,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK,51247617,10074,744,379,2.8491723744,8879,1.5594209496,7694,394,269,2.1428967016,6542,1.617286168,2380,23,1,5.1324013772,2337,1.3974379546,350,110
2020-2021,12,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG,51219046,16186,3144,604,6.2127671204,13601,2.5091689541,10907,1182,270,3.6910288245,8460,2.6913869188,5279,604,57,11.422958368,5141,2.2093121204,1962,334
2020-2021,12,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES SOURCES,51247583,11523,1425,453,3.8898297608,9382,2.2387387787,9919,877,324,3.0324867538,7789,2.3909296943,1604,91,4,9.1915662233,1593,1.4945987654,548,129
2020-2021,12,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CHUS - HÔPITAL FLEURIMONT,51216687,33600,4761,789,7.2761066468,30949,1.6320026495,17018,811,343,4.4688134132,14372,2.5166388348,16582,1302,69,10.157213645,16577,0.8650368985,3950,446
2020-2021,12,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CHUS - HÔTEL-DIEU DE SHERBROOKE,51216695,36946,6777,5075,9.2894896155,32699,1.7872778984,16423,1334,1005,4.0376555238,12205,2.5155755838,20523,3323,670,13.492134028,20494,1.3535473797,5443,4070
2020-2021,12,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,HÔPITAL BROME-MISSISQUOI-PERKINS,51229185,20222,3062,667,8.2732000489,17728,2.3066244861,13968,1007,335,4.1384151871,11506,2.5959637001,6254,1512,451,17.508037745,6222,1.7715655023,2055,332
2020-2021,12,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,HÔPITAL DE GRANBY,51228120,28808,4498,2070,8.878904712,24634,2.2937176035,18896,1425,796,4.3310091201,14759,2.7923105676,9912,2619,508,17.548904218,9875,1.5485293952,3073,1274
2020-2021,12,06,Montréal,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,51236297,47576,6912,3719,12.802673529,41917,2.1010792823,27917,1912,1561,5.7383659598,22345,2.8042296934,19659,7422,1781,22.834428676,19572,1.2983051184,5000,2158
2020-2021,12,06,Montréal,CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,CHU SAINTE-JUSTINE,51222800,44450,0,1516,4.1869820147,42868,1.0237273854,30425,0,744,3.3673456313,28959,1.1467989418,14025,48,0,5.9650523866,13909,0.7674883169,0,772
2020-2021,12,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL DE LACHINE,51228310,11854,2111,596,9.799658929,10983,2.0263289478,6777,641,156,3.8056250307,6046,2.1504185504,5077,1209,332,17.800755586,4937,1.8743650553,1470,440
2020-2021,12,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL GÉNÉRAL DE MONTRÉAL,51248219,22650,3883,2915,12.823081359,20922,1.1984544578,6612,471,416,4.5468526501,5038,1.6879258193,16038,3171,921,16.235129259,15884,1.043206616,3412,2499
2020-2021,12,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL ROYAL VICTORIA,51223295,35968,5430,1046,13.333393904,31486,2.5797669158,21695,1337,512,6.2276095875,17259,3.1255380607,14273,5169,1839,24.134205979,14227,1.9176832587,4093,534
2020-2021,12,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,L'HÔPITAL DE MONTRÉAL POUR ENFANTS,51223279,36492,3,1719,4.6870070837,35959,0.9232675099,25211,0,627,3.5628948894,24698,1.0224587461,11281,163,5,7.1991950576,11261,0.7057179893,3,1092
2020-2021,12,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL MAISONNEUVE-ROSEMONT,12934659,49363,9418,4408,13.829516327,41168,2.5864922661,26436,1937,1073,5.0844115873,18404,3.5394148766,22927,8532,2824,23.913067986,22764,1.816083387,7481,3335
2020-2021,12,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL SANTA CABRINI,51235919,26902,6690,1259,14.743887639,24240,2.6722928126,15567,1530,486,5.2216376523,12932,3.586383476,11335,4899,2089,27.821334975,11308,1.6269248909,5160,773
2020-2021,12,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,INSTITUT UNIVERSITAIRE EN SANTÉ MENTALE DE MONTRÉAL,51235307,3698,167,3681,15.942619133,3576,1.1609852722,1714,50,1704,3.5594361792,1592,1.3252372976,1984,893,346,26.640590698,1984,1.0291862679,117,1977
2020-2021,12,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,CENTRE HOSPITALIER DE ST. MARY,51248243,27287,4878,2304,8.8457081822,26534,1.4386422975,17691,1453,794,4.1674804515,16947,1.6204953023,9596,2355,277,17.470398343,9587,1.1171796008,3425,1510
2020-2021,12,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DE LASALLE,51224392,20612,2634,713,8.3170449522,18432,2.82217038,15012,822,281,5.2249883427,12860,3.2546716779,5600,1471,68,16.605965278,5572,1.8239710457,1812,432
2020-2021,12,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DOUGLAS,51235190,4837,137,4660,12.710104116,4446,2.5325104963,1921,40,1766,3.7770229626,1533,2.284602631,2916,778,115,18.595031722,2913,2.6629748827,97,2894
2020-2021,12,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL GÉNÉRAL DU LAKESHORE,51228278,28457,5791,1740,13.13758424,26842,1.8060606719,16457,1335,277,5.5416477622,14878,2.248567049,12000,4194,1533,23.554778125,11964,1.2557756603,4456,1463
2020-2021,12,06,Montréal,CIUSSS DU CENTRE-OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL GÉNÉRAL JUIF,51248250,58662,10698,3231,8.4965412779,55517,1.1487803185,22783,1193,382,3.2765587036,19929,1.2539578141,35879,4042,720,11.811206207,35588,1.0898817485,9505,2849
2020-2021,12,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DE VERDUN,51218097,28810,4354,2376,10.2816429,26174,1.3690877504,16947,1136,730,3.4754597667,14630,1.7312214248,11863,4074,1085,20.0046797,11544,0.9101466851,3218,1646
2020-2021,12,06,Montréal,CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL NOTRE-DAME,51236313,28468,3681,4442,12.975471241,25316,2.0179192781,16352,794,1699,4.9601841093,13395,2.603580005,12116,4482,1611,23.793065758,11921,1.3598431573,2887,2743
2020-2021,12,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DU SACRÉ-COEUR-DE-MONTRÉAL,12475976,42625,7731,2360,10.952201558,38924,1.6899701983,26298,1989,1053,4.7217887397,22623,2.2654082374,16327,5208,1680,20.987566063,16301,0.8913606186,5742,1307
2020-2021,12,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL EN SANTÉ MENTALE ALBERT-PRÉVOST,51848752,2810,99,2806,17.859932582,2783,0.317918613,1128,33,1124,3.4122963455,1101,0.4639850136,1682,767,235,27.548953792,1682,0.2223067776,66,1682
2020-2021,12,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL FLEURY,51228492,23541,3533,1192,8.2335390029,19699,2.494254855,17349,1327,609,4.4022330778,13526,2.9226602675,6192,1880,186,18.968249354,6173,1.5555521806,2206,583
2020-2021,12,06,Montréal,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL JEAN-TALON,51228500,28557,3552,2533,7.8759437266,24719,2.2700506471,20254,927,1127,4.6616778716,16434,2.8433385055,8303,1801,128,15.716692929,8285,1.1328855696,2625,1406
2020-2021,12,06,Montréal,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,51248201,14811,3856,498,8.7690269995,14461,1.1963540634,9116,1634,422,3.1952426137,8770,1.3360543203,5695,1560,174,17.690996878,5691,0.9810718191,2222,76
2020-2021,12,07,Outaouais,CISSS DE L'OUTAOUAIS,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MANSFIELD-ET-PONTEFRACT,51245058,6754,760,242,4.3166500099,5750,1.5718482126,6506,706,233,4.1434247874,5503,1.5764248289,248,11,1,8.8610181452,247,1.4698841655,54,9
2020-2021,12,07,Outaouais,CISSS DE L'OUTAOUAIS,CLSC ET CENTRE D'HÉBERGEMENT DE LA PETITE-NATION,51219491,6853,871,271,2.4779296172,5836,0.8640431517,6102,675,241,2.2533242744,5088,0.9062513103,751,3,0,4.302885412,748,0.5769373886,196,30
2020-2021,12,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL DE GATINEAU,51221703,28528,3880,3821,10.605876605,21044,2.6081457634,16406,1169,1033,3.8438591742,9080,2.742887604,12122,3281,1214,19.757638522,11964,2.5058843196,2711,2788
2020-2021,12,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL DE HULL,51221711,24695,4504,1011,10.807128085,18696,2.2825790276,14244,1098,593,4.0042895839,8373,2.581995999,10451,2894,1048,20.078932851,10323,2.0397214957,3406,418
2020-2021,12,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL DE MANIWAKI,51221893,10703,1309,598,5.1130650804,8983,2.0334224214,7335,577,301,3.2042712262,5715,2.1816014387,3368,215,82,9.2701324558,3268,1.7742905107,732,297
2020-2021,12,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL ET CHSLD DE PAPINEAU,51228823,15988,1946,814,7.6113822346,12681,2.9691396578,11175,631,285,3.8222842406,7961,2.9769814652,4813,1000,169,16.409048988,4720,2.9559132533,1315,529
2020-2021,12,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL ET CHSLD DU PONTIAC,51219459,7396,947,242,4.7583222913,6814,1.7076696263,6467,734,177,4.0509810491,5889,1.7400811305,929,47,0,9.6823005621,925,1.5013222222,213,65
2020-2021,12,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL ET CHSLD MÉMORIAL DE WAKEFIELD / WAKEFIELD MEMORIAL HOSPITAL,51228799,9872,868,309,5.1620601195,8543,2.0462606813,8352,561,243,3.6865347621,7038,2.1503055634,1520,250,45,13.269683662,1505,1.5597039498,307,66
